X,Variedad,Tratat_quim_semilla,Labranza,Dehierbe,Escarda,Arreglo,Barbecho,Rastreo,Nivelacion,Trazos,Reformacion_surcos,Preparacion_suelo,Fertilizacion_quimica_suelo,Fertilizacion_quimica_foliar,Biofertilizantes,Mejoradores,Control_quimico_malezas,N,P,K,TM_Avg,TX_Avg,SD_Acu,P_Acu,D_Range,TX_34_Frec,TM_15_Frec,P_10_Frec,Rendimiento,latitud_n,longitud_w,fecha_de_siembra,Drenaje_in,Arena_prc,Arcilla_pr,Limo_prc,CE,PH,MO,CIC,SB_prc,Sloperast
1,P3055W,0,Cero Minima,0,0,0,0,0,0,1,0,0,2,0,0,0,1,266,92,30,11.00163199,28.69507344,124239.2355,469,17.69344145,0.027131783,0.914728682,0.926356589,11.5,1,1,5/26/2012,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.195159372
2,P3055W,0,Cero Minima,0,0,0,0,0,0,1,0,0,2,0,1,0,1,176.5,92,30,12.33701657,29.17127072,90080.95844,448,16.83425414,0.038674033,0.878453039,0.895027624,13,2,2,5/26/2012,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.195159372
3,ASGROW PUMA,0,Cero Minima,0,0,0,0,0,0,0,0,0,2,0,0,0,1,184,46,0,12.03076923,28.32820513,98365.11101,492,16.2974359,0,0.958974359,0.876923077,12,3,3,5/18/2012,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.364162927
4,ASGROW PUMA,0,Cero Minima,0,0,0,0,0,0,1,0,0,2,0,0,0,2,293.5,40,0,12.43523316,29.20466321,97685.75144,477,16.76943005,0.025906736,0.870466321,0.901554404,11.1,4,4,5/11/2012,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.890446624
5,ASGROW PUMA,0,Cero Minima,0,0,0,0,0,0,1,0,0,2,0,1,0,2,174,40,0,12.43523316,29.20466321,97685.75144,477,16.76943005,0.025906736,0.870466321,0.901554404,12.3,5,5,5/11/2012,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.890446624
6,ASGROW PUMA,0,Convencional,0,2,0,0,2,0,1,0,0,3,0,0,1,1,237,69,0,11.86363636,28.65909091,100775.02,408,16.79545455,0,0.98989899,0.888888889,11,6,6,5/12/2012,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.269064977
7,ASGROW PUMA,0,Cero Minima,0,0,0,0,0,0,0,0,0,2,0,0,0,1,161,46,0,11.74855491,27.97976879,85157.00514,458,16.23121387,0,0.959537572,0.867052023,11,7,7,6/10/2012,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.455808384
8,ASGROW PUMA,0,Cero Minima,1,1,0,0,0,0,0,0,0,3,0,0,0,1,179,46,0,11.85416667,27.82142857,83322.08438,483,15.9672619,0,0.952380952,0.857142857,12.3,8,8,6/13/2012,3,24,48,9,2,7.197488844,1.532711559,34.55572422,96.0652222,1.203240689
9,ASGROW PUMA,0,Cero Minima,1,1,0,0,0,0,0,0,0,3,0,0,0,1,230,69,0,11.57926829,28.03658537,81198.53719,407,16.45731707,0,0.981707317,0.87195122,10,9,9,6/17/2012,3,14,61,7,2,8.383125,0.766875,38.875,87.515,0.046040344
10,ASGROW PUMA,0,Cero Minima,1,1,0,0,0,0,0,0,0,3,0,0,0,1,179,46,0,12.11904762,27.96428571,83460.3217,512,15.8452381,0,0.916666667,0.845238095,12,10,10,6/11/2012,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.070355329
11,ASGROW PUMA,0,Convencional,0,0,0,1,2,1,0,0,0,3,0,0,0,2,262.75,69,0,12.60326087,28.70380435,93033.02015,455,16.10054348,0.02173913,0.940217391,0.907608696,14,11,11,5/10/2012,3,17,51,14,38,7.985063339,0.640335775,40.33563416,86.61642857,0.147696572
12,XR20A CERES,0,Ag conservacion,0,0,0,0,0,0,0,0,1,3,0,2,0,2,194.75,92,0,13.91223404,29.20032601,94465.61081,532,15.28809197,0.005319149,0.75,0.909574468,7.19,12,12,5/8/2013,3,24,48,9,2,7.197488844,1.532711559,34.55572422,96.0652222,1.956512318
13,CIMARRON,0,Convencional,0,1,0,1,0,0,1,0,0,3,0,0,0,1,347.75,0,0,12.90552995,29.60814628,114188.5482,495,16.70261632,0.050691244,0.857142857,0.921658986,11.8,13,13,3/16/2013,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.169999946
14,CIMARRON,0,Ag conservacion,0,1,0,0,0,0,0,0,0,3,0,0,0,1,347.75,0,0,12.90552995,29.60814628,114188.5482,495,16.70261632,0.050691244,0.857142857,0.921658986,12,14,14,3/16/2013,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.169999946
15,CIMARRON,0,Convencional,0,1,1,0,1,0,1,0,0,3,0,0,0,1,288,42.5,68.5,12.54130435,28.0673913,112854.8407,568,15.52608696,0.026086957,0.873913043,0.908695652,15,15,15,5/2/2013,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.212793488
16,ASGROW PUMA,0,Cero Minima,0,1,0,0,0,0,1,0,0,3,0,0,0,0,396.75,0,0,12.58185841,28.01327434,110756.3564,566,15.43141593,0.022123894,0.871681416,0.907079646,12.3,16,16,5/5/2013,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.079234756
17,CIMARRON,0,Convencional,0,1,0,1,1,0,1,0,0,3,0,0,0,1,414,0,0,12.38709677,27.69354839,106341.1918,582,15.30645161,0.023041475,0.907834101,0.894009217,14.2,17,17,5/16/2013,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.041887201
18,CIMARRON,0,Convencional,0,1,0,1,1,0,1,0,0,3,0,0,1,1,368,0,0,12.38709677,27.69354839,106341.1918,582,15.30645161,0.023041475,0.907834101,0.894009217,14.6,18,18,5/16/2013,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.041887201
19,CIMARRON,0,Convencional,0,1,0,1,1,0,1,0,0,3,0,0,0,1,437,0,0,12.95833333,28.60416667,109348.124,588,15.64583333,0.037037037,0.875,0.893518519,14,19,19,4/20/2013,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.199965864
20,CIMARRON,0,Convencional,0,1,0,1,1,0,1,0,0,1,0,0,1,1,138,0,0,12.95833333,28.60416667,109348.124,588,15.64583333,0.037037037,0.875,0.893518519,13.8,20,20,4/20/2013,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.199965864
21,CIMARRON,0,Convencional,0,1,0,1,1,0,1,0,0,3,0,0,2,1,240.5,0,0,12.56726457,28.51172241,113521.8476,603,15.94445784,0.022421525,0.928251121,0.896860987,14.5,21,21,4/14/2013,3,24,48,9,2,7.197488844,1.532711559,34.55572422,96.0652222,1.584676128
22,CIMARRON,0,Convencional,0,1,0,1,1,0,1,0,0,3,0,0,1,1,240.5,0,0,12.93636364,28.70153959,111369.6194,582,15.76517595,0.05,0.872727273,0.9,15.8,22,22,4/17/2013,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.460472963
23,ASGROW PUMA,0,Convencional,0,1,0,1,1,0,1,0,0,3,0,0,1,0,344,68,68,12.91162791,28.52633158,108845.6816,590,15.61470368,0.023255814,0.893023256,0.888372093,11.5,23,23,4/20/2013,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.363065197
24,CIMARRON,0,Convencional,0,1,0,1,1,0,1,0,0,3,0,0,1,1,303,69,0,12.90147783,28.24217384,102096.6167,578,15.34069601,0.014778325,0.916256158,0.886699507,11.6,24,24,5/2/2013,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.310632517
25,CIMARRON,0,Convencional,0,1,0,1,1,0,1,0,0,3,0,0,1,1,368,0,0,12.53017241,28.35657675,116958.4306,604,15.82640434,0.034482759,0.909482759,0.900862069,15,25,25,4/16/2013,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.453082109
26,ASGROW PUMA,0,Convencional,0,1,0,0,1,0,1,0,0,3,0,0,0,1,299,0,0,12.92639594,27.83756345,97034.03195,547,14.91116751,0.020304569,0.862944162,0.903553299,14.7,26,26,5/20/2013,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.08797407
27,ASGROW PUMA,0,Convencional,0,1,0,0,1,0,1,0,0,3,0,0,1,1,253,0,0,12.92639594,27.83756345,97034.03195,547,14.91116751,0.020304569,0.862944162,0.903553299,14.75,27,27,5/20/2013,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.08797407
28,CIMARRON,0,Cero Minima,0,0,0,0,0,0,0,0,0,3,0,0,0,1,291.5,0,0,12.76637555,28.51091703,114616.8584,532,15.74454148,0.030567686,0.864628821,0.92139738,13.8,28,28,4/20/2013,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.070355329
29,CIMARRON,0,Cero Minima,0,0,0,0,0,0,0,0,0,3,0,0,1,1,245.5,0,0,12.76637555,28.51091703,114616.8584,532,15.74454148,0.030567686,0.864628821,0.92139738,13.85,29,29,4/20/2013,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.070355329
30,CIMARRON,0,Convencional,0,0,0,0,2,0,1,0,0,3,0,0,1,1,230,0,0,13.15228426,28.06091371,97516.15424,525,14.90862944,0.020304569,0.852791878,0.908629442,13.9,30,30,5/14/2013,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.125622306
31,ASGROW PUMA,0,Convencional,0,0,0,0,1,0,1,0,0,3,0,0,1,1,271.4,0,0,13.11330049,28.16502463,100449.1079,535,15.05172414,0.024630542,0.852216749,0.906403941,14.95,31,31,5/9/2013,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.011318937
32,CIMARRON,0,Convencional,0,2,0,0,1,0,1,0,0,3,0,0,1,0,249.32,0,0,12.99242424,27.9469697,97865.94372,522,14.95454545,0.025252525,0.863636364,0.904040404,13.8,32,32,5/17/2013,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.09208205
33,CIMARRON,0,Convencional,0,0,0,0,1,0,1,0,0,3,0,0,1,1,184,0,0,12.8943299,27.79639175,95648.30101,519,14.90206186,0.020618557,0.871134021,0.907216495,14.45,33,33,5/22/2013,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.123634833
34,P3055W,0,Convencional,0,0,0,1,1,1,1,0,0,3,1,0,0,2,41.4,0.6,0.2,12.45894428,27.03636364,79612.08781,417,14.57741935,0,0.939393939,0.933333333,9.9,34,34,6/20/2013,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,1.609413408
35,P3055W,0,Cero Minima,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0.4,0.6,0.2,12.7405628,27.65159574,91795.15306,454,14.91103294,0.015957447,0.882978723,0.930851064,10,35,35,5/28/2013,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,1.609413408
36,P3055W,0,Convencional,0,1,0,0,3,1,1,0,0,3,2,1,0,0,243.5,46,0,11.90373407,27.0187958,113728.6588,543,15.11506173,0.008403361,0.899159664,0.924369748,13.2,36,36,5/25/2013,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.155347808
37,P3055W,0,Convencional,1,2,0,0,3,0,1,0,0,3,1,1,1,1,253.75,46,0,13.31192111,28.45600447,100824.9332,453,15.14408336,0.069306931,0.811881188,0.935643564,13.24,37,37,5/9/2013,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.068243795
38,CIMARRON,0,Convencional,0,1,1,0,3,1,1,0,0,3,2,1,0,2,334,69,0,13.15725806,28.66927654,104356.9158,450,15.51201848,0.053398058,0.844660194,0.936893204,10.5,38,38,4/28/2013,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,1.02354851
39,CIMARRON,0,Cero Minima,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.5,0,0,14.00193901,28.5109008,92281.00894,446,14.50896179,0.032786885,0.568306011,0.923497268,11.45,39,39,5/16/2013,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.520454223
40,CIMARRON,0,Ag conservacion,0,0,0,0,0,0,0,0,0,2,0,1,0,2,232.75,40,42,14.62978554,27.31787521,90454.55799,492,12.68808967,0.032967033,0.450549451,0.906593407,11,40,40,5/31/2013,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.238262079
41,CIMARRON,0,Ag conservacion,0,0,0,0,0,0,0,0,0,2,1,0,1,1,188.805,30,42,14.98856066,27.81895369,91227.19383,491,12.83039303,0.048913043,0.391304348,0.913043478,11.8,41,41,5/22/2013,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.308558104
42,CIMARRON,0,Cero Minima,0,0,0,0,0,0,0,0,0,2,0,1,1,1,229.25,115,0,14.82475347,28.4273359,96489.63741,488,13.60258243,0.093264249,0.440414508,0.917098446,12.7,42,42,5/4/2013,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,2.421081116
43,ASGROW PUMA,0,Convencional,0,0,0,0,0,0,0,0,0,3,0,0,0,2,513,66,88,13.96996379,28.57397959,94885.94794,511,14.6040158,0.030612245,0.56122449,0.908163265,13,43,43,5/26/2013,5,35,31,15,2,6.676701781,1.817399657,24.89559307,79.3439241,0.18324109
44,ASGROW PUMA,0,Ag conservacion,0,0,0,0,0,0,0,0,0,3,0,0,0,2,513,66,88,13.83887017,28.51492537,96906.65303,511,14.67605521,0.029850746,0.572139303,0.910447761,13.9,44,44,5/26/2013,5,35,31,15,2,6.676701781,1.817399657,24.89559307,79.3439241,0.18324109
45,CIMARRON,0,Ag conservacion,0,0,0,0,0,0,0,0,0,3,0,0,0,2,346,40,0,13.7643054,28.6281407,95156.08633,512,14.86383531,0.035175879,0.592964824,0.914572864,10.58,45,45,6/1/2013,5,35,31,15,2,6.676701781,1.817399657,24.89559307,79.3439241,0.378922475
46,ASGROW PUMA,0,Ag conservacion,0,0,0,0,0,0,0,0,0,1,0,0,0,2,51.25,30,0,13.31207802,28.23927077,101496.1745,547,14.92719275,0.027906977,0.623255814,0.911627907,12.73,46,46,6/2/2013,5,35,31,15,2,6.676701781,1.817399657,24.89559307,79.3439241,0.378922475
47,ASGROW PUMA,0,Convencional,0,0,0,0,1,0,0,1,0,1,0,0,1,1,120,60,60,13.95022624,29.21040724,106675.9755,492,15.260181,0.07239819,0.524886878,0.923076923,10.5,47,47,5/14/2013,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.015544965
48,ASGROW PUMA,0,Ag conservacion,0,0,0,0,0,0,0,0,0,3,0,0,0,2,302.25,20,0,13.82981904,28.64673485,99164.14615,517,14.81691581,0.048780488,0.585365854,0.917073171,16.34,48,48,5/22/2013,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.229304169
49,P3055W,0,Ag conservacion,0,1,0,1,2,1,1,0,0,1,0,0,0,1,289,69,90,15.3516565,28.2039273,93372.48671,472,12.85227081,0.075675676,0.351351351,0.918918919,9.5,49,49,5/10/2013,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.339155646
50,CIMARRON,0,Cero Minima,0,2,1,0,2,0,0,0,0,3,0,1,0,1,336.75,90,81,14.5282826,28.00824847,105592.8793,451,13.47996587,0.051643192,0.427230047,0.9342723,11,50,50,5/15/2013,3,24,48,9,2,7.197488844,1.532711559,34.55572422,96.0652222,0.197812056
51,CIMARRON,0,Cero Minima,1,2,1,0,2,0,0,0,0,3,0,1,1,2,271.25,0,0,15.12487131,27.86997005,94041.34563,434,12.74509874,0.053191489,0.388297872,0.925531915,11.9,51,51,5/20/2013,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.449191603
52,CIMARRON,0,Convencional,0,0,0,1,2,1,1,0,0,2,0,0,0,1,313.76,99.68,56.96,13.88285628,27.91901408,107508.5335,344,14.03615781,0,0.671361502,0.929577465,13.5,52,52,4/12/2014,3,22,52,6,14,8.99375,0.72828125,37.42453125,100,0.035186824
53,CIMARRON,0,Ag conservacion,0,0,0,0,0,0,0,1,1,2,0,0,0,1,313.76,99.68,56.96,13.88285628,27.91901408,107508.5335,344,14.03615781,0,0.671361502,0.929577465,14,53,53,4/12/2014,3,22,52,6,14,8.99375,0.72828125,37.42453125,100,0.035186824
54,CRIOLLO,0,Convencional,0,0,0,1,2,1,1,0,0,3,1,0,0,1,358,0,0,13.68569065,27.35128205,94356.23517,318,13.6655914,0,0.6,0.928205128,8.8,54,54,5/23/2014,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,1.236002347
55,CRIOLLO,0,Ag conservacion,0,0,0,0,0,0,0,0,1,3,1,0,0,1,358,0,0,13.68569065,27.35128205,94356.23517,318,13.6655914,0,0.6,0.928205128,9,55,55,5/23/2014,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,1.236002347
56,CIMARRON,0,Ag conservacion,0,0,0,0,0,0,0,0,1,1,1,0,0,1,95,138,0,13.54580434,26.8496732,76731.22975,363,13.30386886,0,0.882352941,0.895424837,14,56,56,5/31/2014,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.051709692
57,ASGROW PUMA,0,Convencional,0,0,0,0,0,0,0,0,0,1,0,0,0,1,138,0,0,13.29121314,26.20858896,81101.42147,321,12.91737582,0,0.852760736,0.914110429,4,57,57,6/2/2014,4,32,25,23,2,6.611705828,1.240606361,17.89228902,77.69384152,0.323130996
58,P3055W,0,Convencional,0,0,0,1,2,0,1,0,0,3,1,0,0,1,251.875,80.5,9,12.82738095,26.8047619,103888.1978,377,13.97738095,0,0.885714286,0.933333333,10.1,58,58,5/8/2014,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,1.964605783
59,P3055W,0,Cero Minima,0,0,0,0,0,0,0,1,0,3,1,1,0,1,277.5,80.5,9,12.82738095,26.8047619,103888.1978,377,13.97738095,0,0.885714286,0.933333333,9.33,59,59,5/8/2014,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,1.964605783
60,CIMARRON,0,Convencional,0,2,0,0,2,0,0,0,0,2,0,0,0,1,315,276,0,13.48895512,26.71195652,93310.49101,377,13.2230014,0,0.85326087,0.918478261,7,60,60,4/30/2014,4,32,25,23,2,6.611705828,1.240606361,17.89228902,77.69384152,0.323130996
61,CIMARRON,0,Convencional,0,0,0,1,0,0,0,0,0,3,0,0,0,2,330.25,33,54,11.22421306,25.58305151,127389.9142,489,14.35883845,0,1,0.911290323,14,61,61,3/26/2014,3,40,28,11,2,6.66375,1.0025,23.99,81.43,0.296884113
62,CIMARRON,0,Convencional,0,0,0,2,0,0,0,0,0,3,0,0,0,0,343.5,33,54,11.24726038,26.36406081,111085.8826,403,15.11680043,0,1,0.913875598,16,62,62,2/26/2014,3,40,28,11,2,6.66375,1.0025,23.99,81.43,1.482063563
63,CIMARRON,0,Convencional,0,0,0,0,0,0,0,0,0,3,1,0,0,1,267.75,69,0,13.51732225,27.09693878,96460.77961,341,13.57961652,0,0.719387755,0.918367347,14.3,63,63,5/18/2014,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.136938587
64,CIMARRON,0,Convencional,0,1,0,0,0,0,0,1,0,2,1,0,0,0,199.5,69,0,13.05662693,27.08695652,112147.4625,347,14.03032959,0,0.734782609,0.939130435,15.2,64,64,5/4/2014,3,34,17,29,47,8.798419643,2.7100625,26.3954375,100,0.802321891
65,P3055W,0,Convencional,0,1,0,1,2,0,1,0,0,3,0,0,0,1,262.75,69,0,12.61375752,26.90517359,118703.8991,421,14.29141607,0,0.915254237,0.923728814,11.2,65,65,4/11/2014,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.320776135
66,DEKALB 2061,0,Ag conservacion,0,0,0,0,0,0,0,1,0,1,1,0,0,1,90.2294,70.16,40.12,14.11986804,27.44886364,87248.07212,322,13.3289956,0,0.619318182,0.914772727,13.4,66,66,5/21/2014,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.080815381
67,DEKALB 2061,0,Ag conservacion,0,0,0,0,0,0,0,1,0,1,1,0,0,1,90.2294,70.16,40.12,14.11986804,27.44886364,87248.07212,322,13.3289956,0,0.619318182,0.914772727,16.9,67,67,5/21/2014,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.080815381
68,CIMARRON,0,Convencional,0,0,0,0,0,0,0,1,0,3,0,0,0,1,290.34,63.02,45,14.09031367,27.56629834,88980.41518,309,13.47598467,0,0.53038674,0.928176796,7.7,68,68,5/27/2014,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.10911302
69,P3055W,0,Ag conservacion,0,0,0,0,0,0,0,1,0,3,0,0,0,1,304.62,64.4,60,13.74388795,27.44473684,92846.16639,303,13.7008489,0,0.557894737,0.931578947,7.86,69,69,5/27/2014,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.116358648
70,P3055W,0,Convencional,0,0,0,0,0,0,0,1,0,3,0,0,0,1,210.33,64.4,30,13.74388795,27.44473684,92846.16639,303,13.7008489,0,0.557894737,0.931578947,7.76,70,70,5/27/2014,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.116358648
71,P3055W,0,Cero Minima,0,0,0,0,0,0,0,0,0,4,0,0,0,2,303.5,69,30,13.96460102,27.69210526,94418.52187,328,13.72750424,0,0.631578947,0.926315789,13.8,71,71,5/13/2014,5,35,31,15,2,6.676701781,1.817399657,24.89559307,79.3439241,0.500052289
72,ASGROW PUMA,0,Ag conservacion,0,0,0,0,1,0,0,0,0,3,0,0,0,1,343,92,0,13.49728397,27.0984456,94160.88519,329,13.60116162,0,0.668393782,0.92746114,11.71,72,72,5/25/2014,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.272042577
73,ASGROW PUMA,0,Ag conservacion,0,0,0,0,1,0,0,0,0,3,0,0,0,1,274,92,0,13.49728397,27.0984456,94160.88519,329,13.60116162,0,0.668393782,0.92746114,11.77,73,73,5/25/2014,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.272042577
74,CRIOLLO,0,Convencional,0,0,1,0,2,1,1,0,0,1,0,0,0,1,10.25,0,0,12.96868066,26.74603175,95342.88785,326,13.77735108,0,0.936507937,0.931216931,3.8,74,74,5/10/2014,5,47,12,20,2,6.519458264,1.212579689,15.83198936,76.17500905,2.218962622
75,P3055W,0,Convencional,0,0,0,0,2,1,0,1,0,3,1,0,0,2,268.1,59.8,10.6,12.50401179,26.51355002,93562.74066,281,14.00953823,0,0.776649746,0.934010152,8.5,75,75,6/14/2014,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,1.702758502
76,P3055W,0,Convencional,0,0,0,0,2,1,0,1,0,3,1,0,0,2,268.1,59.8,10.6,12.50401179,26.51355002,93562.74066,281,14.00953823,0,0.776649746,0.934010152,8.5,76,76,6/14/2014,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,1.702758502
